Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::t,,,3.78,10.42,0,0,0,0
aten::transpose,,,2.64,6.64,0,0,0,0
aten::as_strided,,,4.0,4.0,0,0,0,0
aten::matmul,,,86.12,126.58,0,33.224,0,33.224
empty_tensor,,,5.08,5.08,0,0,0,0
aclnnMatmul,,,35.38,35.38,33.224,33.224,33.224,33.224
vllm::all_reduce,,,51.9,322.61,0,534.692,0,0
c10d::allreduce_,,,34.61,260.2,0,534.692,0,0
record_event,,,14.93,14.93,0.02,0.02,0,0
wait_event,,,7.87,7.87,0,0,0,0
HcclAllreduce,,,2.85,189.09,0,534.6320000000001,0,0
HcclAllreduce,,,186.24,186.24,534.6320000000001,534.6320000000001,0,0
record_event,,,9.0,9.0,0.02,0.02,0,0
record_event,,,4.7,4.7,0.02,0.02,0,0
wait_event,,,8.04,8.04,0,0,0,0
destroy_event,,,2.47,2.47,0,0,0,0
destroy_event,,,2.88,2.88,0,0,0,0
destroy_event,,,1.91,1.91,0,0,0,0
destroy_event,,,1.0,1.0,0,0,0,0
vllm::muls_add,,,160.68,199.3,0,40.464,0,0
aten::empty_like,,,4.69,12.74,0,0,0,0
empty_tensor,,,8.05,8.05,0,0,0,0
muls_add_kernel,,,25.88,25.88,40.464,40.464,0,0
vllm::maybe_all_reduce_tensor_model_parallel,,,48.57,48.57,0,0,0,0
vllm::maybe_chunk_residual,,,6.34,6.34,0,0,0,0
_C_ascend::npu_add_rms_norm_bias,,,28.35,80.2,0,97.71,0,0
aten::empty,,,2.65,10.41,0,0,0,0
empty_tensor,,,7.76,7.76,0,0,0,0
aten::empty,,,0.85,4.21,0,0,0,0
empty_tensor,,,3.36,3.36,0,0,0,0
aten::empty,,,0.73,4.06,0,0,0,0
empty_tensor,,,3.33,3.33,0,0,0,0
aten::empty,,,1.68,5.7,0,0,0,0
empty_tensor,,,4.02,4.02,0,0,0,0
aclnnAddRmsNormBias,,,27.47,27.47,97.71,97.71,0,0
vllm::unquantized_gemm,,,16.7,304.57,0,87.268,0,87.268
aten::linear,,,3.64,287.87,0,87.268,0,87.268
aten::t,,,3.71,11.28,0,0,0,0
aten::transpose,,,3.4,7.57,0,0,0,0
aten::as_strided,,,4.17,4.17,0,0,0,0
aten::matmul,,,214.62,272.95,0,87.268,0,87.268
empty_tensor,,,4.58,4.58,0,0,0,0
aclnnMatmul,,,53.75,53.75,87.268,87.268,87.268,87.268
vllm::unquantized_gemm,,,14.82,283.63,0,84.53,0,84.53
aten::linear,,,3.33,268.81,0,84.53,0,84.53
aten::t,,,35.48,42.05,0,0,0,0
aten::transpose,,,2.33,6.57,0,0,0,0
aten::as_strided,,,4.24,4.24,0,0,0,0
aten::matmul,,,167.8,223.43,0,84.53,0,84.53
empty_tensor,,,7.26,7.26,0,0,0,0
aclnnMatmul,,,48.37,48.37,84.53,84.53,84.53,84.53
vllm::unquantized_gemm,,,14.85,211.19,0,83.428,0,83.428
aten::linear,,,3.11,196.34,0,83.428,0,83.428
aten::t,,,3.64,9.96,0,0,0,0
aten::transpose,,,2.46,6.32,0,0,0,0
aten::as_strided,,,3.86,3.86,0,0,0,0
aten::matmul,,,129.73,183.27,0,83.428,0,83.428
empty_tensor,,,6.69,6.69,0,0,0,0
aclnnMatmul,,,46.85,46.85,83.428,83.428,83.428,83.428
vllm::unquantized_gemm,,,13.77,227.06,0,17.982,0,17.982
aten::linear,,,2.82,213.29,0,17.982,0,17.982
aten::t,,,3.51,9.81,0,0,0,0
aten::transpose,,,2.39,6.3,0,0,0,0
aten::as_strided,,,3.91,3.91,0,0,0,0
aten::matmul,,,159.61,200.66,0,17.982,0,17.982
empty_tensor,,,5.82,5.82,0,0,0,0
aclnnMatmul,,,35.23,35.23,17.982,17.982,17.982,17.982
npu::_npu_dtype_cast,,,59.56,114.48,0,6.22,0,0
empty_tensor,,,7.02,7.02,0,0,0,0
aclnnCast,,,47.9,47.9,6.22,6.22,0,0
aten::sigmoid,,,27.24,82.59,0,6.362,0,0
empty_tensor,,,5.09,5.09,0,0,0,0
aclnnSigmoid,,,50.26,50.26,6.362,6.362,0,0
aten::unsqueeze,,,2.75,6.26,0,0,0,0
aten::as_strided,,,3.51,3.51,0,0,0,0
vllm::unquantized_gemm,,,15.68,247.2,0,87.368,0,87.368
aten::linear,,,3.32,231.52,0,87.368,0,87.368
aten::t,,,3.91,11.4,0,0,0,0
aten::transpose,,,2.26,7.49,0,0,0,0
aten::as_strided,,,5.23,5.23,0,0,0,0
aten::matmul,,,158.81,216.8,0,87.368,0,87.368
empty_tensor,,,10.78,10.78,0,0,0,0
aclnnMatmul,,,47.21,47.21,87.368,87.368,87.368,87.368
aten::reshape,,,3.1,6.25,0,0,0,0
aten::view,,,3.15,3.15,0,0,0,0
aten::empty_like,,,5.18,11.2,0,0,0,0
empty_tensor,,,6.02,6.02,0,0,0,0
aten::as_strided,,,2.06,2.06,0,0,0,0
aten::clone,,,3.01,83.97,0,12.782,0,0
empty_tensor,,,4.29,4.29,0,0,0,0
aten::copy_,,,37.25,76.67,0,12.782,0,0
aclnnInplaceCopy,,,39.42,39.42,12.782,12.782,0,0
aten::as_strided,,,1.85,1.85,0,0,0,0
kda_gate_fwd_kernel,,,23.64,23.64,87.048,87.048,0,0
vllm::unquantized_gemm,,,16.27,243.4,0,86.748,0,86.748
aten::linear,,,3.6,227.13,0,86.748,0,86.748
aten::t,,,3.7,11.6,0,0,0,0
aten::transpose,,,2.7,7.9,0,0,0,0
aten::as_strided,,,5.2,5.2,0,0,0,0
aten::matmul,,,153.67,211.93,0,86.748,0,86.748
empty_tensor,,,7.7,7.7,0,0,0,0
aclnnMatmul,,,50.56,50.56,86.748,86.748,86.748,86.748
aten::reshape,,,2.96,6.29,0,0,0,0
aten::view,,,3.33,3.33,0,0,0,0
aten::zeros,,,5.39,98.51,0,10.66,0,0
empty_tensor,,,6.53,6.53,0,0,0,0
aten::zero_,,,33.26,86.59,0,10.66,0,0
aclnnInplaceZero,,,53.33,53.33,10.66,10.66,0,0
aten::reshape,,,1.89,4.29,0,0,0,0
aten::view,,,2.4,2.4,0,0,0,0
aten::unsqueeze,,,2.22,4.24,0,0,0,0
aten::as_strided,,,2.02,2.02,0,0,0,0
vllm::kda_attention,,,4645.14,20854.05,0,7020.176,0,172.14
aten::alias,,,4.63,4.63,0,0,0,0
aten::transpose,,,4.68,6.15,0,0,0,0
aten::as_strided,,,1.47,1.47,0,0,0,0
aten::transpose,,,2.43,3.19,0,0,0,0
aten::as_strided,,,0.76,0.76,0,0,0,0
aten::transpose,,,1.57,2.28,0,0,0,0
aten::as_strided,,,0.71,0.71,0,0,0,0
aten::slice,,,1.48,2.64,0,0,0,0
aten::as_strided,,,1.16,1.16,0,0,0,0
aten::slice,,,1.29,2.05,0,0,0,0
aten::as_strided,,,0.76,0.76,0,0,0,0
aten::slice,,,0.63,1.92,0,0,0,0
aten::as_strided,,,1.29,1.29,0,0,0,0
aten::alias,,,0.74,0.74,0,0,0,0
aten::alias,,,0.55,0.55,0,0,0,0
aten::view,,,3.68,3.68,0,0,0,0
aten::view,,,2.18,2.18,0,0,0,0
aten::view,,,2.54,2.54,0,0,0,0
aten::transpose,,,0.8,2.13,0,0,0,0
aten::as_strided,,,1.33,1.33,0,0,0,0
aten::contiguous,,,2.02,110.64,0,40.324,0,0
aten::clone,,,3.3,108.62,0,40.324,0,0
empty_tensor,,,8.68,8.68,0,0,0,0
aten::copy_,,,60.74,96.64,0,40.324,0,0
aclnnInplaceCopy,,,35.9,35.9,40.324,40.324,0,0
aten::slice,,,5.65,7.92,0,0,0,0
aten::as_strided,,,2.27,2.27,0,0,0,0
aten::slice,,,1.41,2.23,0,0,0,0
aten::as_strided,,,0.82,0.82,0,0,0,0
aten::sub,,,9.42,30.55,0,1.62,0,0
empty_tensor,,,3.82,3.82,0,0,0,0
aclnnSub,,,17.31,17.31,1.62,1.62,0,0
aten::resolve_conj,,,0.58,0.58,0,0,0,0
aten::resolve_neg,,,0.91,0.91,0,0,0,0
aten::to,,,2.03,59.17,0,0,0,0
aten::_to_copy,,,3.43,57.14,0,0,0,0
aten::empty,,,3.74,3.74,0,0,0,0
aten::copy_,,,49.97,49.97,0,0,0,0
aten::split_with_sizes,,,4.01,10.9,0,0,0,0
aten::as_strided,,,2.6,2.6,0,0,0,0
aten::as_strided,,,0.71,0.71,0,0,0,0
aten::as_strided,,,1.26,1.26,0,0,0,0
aten::as_strided,,,1.55,1.55,0,0,0,0
aten::as_strided,,,0.77,0.77,0,0,0,0
aten::slice,,,3.07,4.41,0,0,0,0
aten::as_strided,,,1.34,1.34,0,0,0,0
aten::slice,,,1.36,2.3,0,0,0,0
aten::as_strided,,,0.94,0.94,0,0,0,0
aten::arange,,,9.78,38.49,0,8.24,0,0
empty_tensor,,,6.15,6.15,0,0,0,0
aclnnArange,,,22.56,22.56,8.24,8.24,0,0
aten::unsqueeze,,,2.76,3.94,0,0,0,0
aten::as_strided,,,1.18,1.18,0,0,0,0
aten::sub,,,39.47,104.63,0,1.28,0,0
empty_tensor,,,3.26,3.26,0,0,0,0
aten::item,,,1.14,2.08,0,0,0,0
aten::_local_scalar_dense,,,0.94,0.94,0,0,0,0
aclnnSubs,,,59.82,59.82,1.28,1.28,0,0
aten::unsqueeze,,,1.82,3.51,0,0,0,0
aten::as_strided,,,1.69,1.69,0,0,0,0
aten::add,,,12.44,37.11,0,4.36,0,0
empty_tensor,,,4.43,4.43,0,0,0,0
aclnnAdd,,,20.24,20.24,4.36,4.36,0,0
aten::index,,,71.0,134.48,0,57.72599999999999,0,0
empty_tensor,,,1.88,1.88,0,0,0,0
empty_tensor,,,2.48,2.48,0,0,0,0
aclnnIndex,,,59.12,59.12,57.72599999999999,57.72599999999999,0,0
aten::permute,,,2.49,4.48,0,0,0,0
aten::as_strided,,,1.99,1.99,0,0,0,0
aten::select,,,5.5,7.73,0,0,0,0
aten::as_strided,,,2.23,2.23,0,0,0,0
aten::eq,,,7.71,29.21,0,2.12,0,0
empty_tensor,,,4.11,4.11,0,0,0,0
aclnnEqScalar,,,17.39,17.39,2.12,2.12,0,0
aten::is_nonzero,,,1.45,76.1,0,0,0,0
aten::item,,,1.55,74.65,0,0,0,0
aten::_local_scalar_dense,,,73.1,73.1,0,0,0,0
aten::select,,,4.55,6.16,0,0,0,0
aten::as_strided,,,1.61,1.61,0,0,0,0
aten::item,,,1.26,22.56,0,0,0,0
aten::_local_scalar_dense,,,21.3,21.3,0,0,0,0
aten::select,,,2.87,5.04,0,0,0,0
aten::as_strided,,,2.17,2.17,0,0,0,0
aten::alias,,,2.65,2.65,0,0,0,0
aten::unsqueeze,,,2.25,3.41,0,0,0,0
aten::as_strided,,,1.16,1.16,0,0,0,0
aten::select,,,1.41,2.41,0,0,0,0
aten::as_strided,,,1.0,1.0,0,0,0,0
aten::item,,,0.93,25.99,0,0,0,0
aten::_local_scalar_dense,,,25.06,25.06,0,0,0,0
aten::select,,,2.35,3.85,0,0,0,0
aten::as_strided,,,1.5,1.5,0,0,0,0
aten::alias,,,1.62,1.62,0,0,0,0
aten::to,,,2.33,170.4,0,6.140000000000001,0,0
npu::_npu_dtype_cast,,,89.54,168.07,0,6.140000000000001,0,0
empty_tensor,,,6.49,6.49,0,0,0,0
aclnnCast,,,72.04,72.04,6.140000000000001,6.140000000000001,0,0
aten::cat,,,50.03,106.7,0,15.902000000000001,0,0
empty_tensor,,,4.45,4.45,0,0,0,0
aclnnCat,,,52.22,52.22,15.902000000000001,15.902000000000001,0,0
aten::unsqueeze,,,5.13,7.43,0,0,0,0
aten::as_strided,,,2.3,2.3,0,0,0,0
aten::conv1d,,,2.68,160.99,0,111.41200000000002,0,12.18
aten::unsqueeze,,,1.09,2.15,0,0,0,0
aten::as_strided,,,1.06,1.06,0,0,0,0
aten::convolution,,,3.26,154.41,0,111.41200000000002,0,12.18
aten::_convolution,,,46.58,151.15,0,111.41200000000002,0,12.18
aten::unsqueeze,,,0.92,2.07,0,0,0,0
aten::as_strided,,,1.15,1.15,0,0,0,0
aten::unsqueeze,,,1.43,2.39,0,0,0,0
aten::as_strided,,,0.96,0.96,0,0,0,0
empty_tensor,,,4.05,4.05,0,0,0,0
format_contiguousV2,,,1.21,1.21,0,0,0,0
Conv2D,,,90.8,90.8,111.41200000000002,111.41200000000002,12.18,12.18
aten::squeeze,,,2.25,4.05,0,0,0,0
aten::as_strided,,,1.8,1.8,0,0,0,0
aten::squeeze,,,0.87,1.75,0,0,0,0
aten::as_strided,,,0.88,0.88,0,0,0,0
aten::alias,,,2.22,2.22,0,0,0,0
aten::pad,,,2.25,40.56,0,10.842,0,0
aten::constant_pad_nd,,,11.43,38.31,0,10.842,0,0
empty_tensor,,,5.83,5.83,0,0,0,0
aclnnConstantPadNd,,,21.05,21.05,10.842,10.842,0,0
aten::to,,,1.92,22.86,0,1.58,0,0
npu::_npu_dtype_cast,,,5.25,20.94,0,1.58,0,0
empty_tensor,,,3.14,3.14,0,0,0,0
aclnnCast,,,12.55,12.55,1.58,1.58,0,0
aten::copy_,,,56.61,136.2,0,15.182,0,0
aclnnInplaceCopy,,,79.59,79.59,15.182,15.182,0,0
aten::silu,,,6.45,23.95,0,1.44,0,0
empty_tensor,,,4.07,4.07,0,0,0,0
aclnnSilu,,,13.43,13.43,1.44,1.44,0,0
aten::to,,,1.41,18.62,0,1.3,0,0
npu::_npu_dtype_cast,,,4.43,17.21,0,1.3,0,0
empty_tensor,,,3.18,3.18,0,0,0,0
aclnnCast,,,9.6,9.6,1.3,1.3,0,0
aten::select,,,6.15,8.25,0,0,0,0
aten::as_strided,,,2.1,2.1,0,0,0,0
aten::eq,,,5.87,21.14,0,1.502,0,0
empty_tensor,,,2.46,2.46,0,0,0,0
aclnnEqScalar,,,12.81,12.81,1.502,1.502,0,0
aten::is_nonzero,,,1.35,50.86,0,0,0,0
aten::item,,,1.68,49.51,0,0,0,0
aten::_local_scalar_dense,,,47.83,47.83,0,0,0,0
aten::select,,,4.16,6.12,0,0,0,0
aten::as_strided,,,1.96,1.96,0,0,0,0
aten::item,,,1.03,23.9,0,0,0,0
aten::_local_scalar_dense,,,22.87,22.87,0,0,0,0
aten::select,,,2.66,4.49,0,0,0,0
aten::as_strided,,,1.83,1.83,0,0,0,0
aten::alias,,,2.62,2.62,0,0,0,0
aten::unsqueeze,,,2.3,3.46,0,0,0,0
aten::as_strided,,,1.16,1.16,0,0,0,0
aten::select,,,1.32,2.32,0,0,0,0
aten::as_strided,,,1.0,1.0,0,0,0,0
aten::item,,,1.01,23.01,0,0,0,0
aten::_local_scalar_dense,,,22.0,22.0,0,0,0,0
aten::select,,,2.45,4.13,0,0,0,0
aten::as_strided,,,1.68,1.68,0,0,0,0
aten::alias,,,1.52,1.52,0,0,0,0
aten::to,,,2.41,129.93,0,5.4799999999999995,0,0
npu::_npu_dtype_cast,,,54.78,127.52,0,5.4799999999999995,0,0
empty_tensor,,,4.78,4.78,0,0,0,0
aclnnCast,,,67.96,67.96,5.4799999999999995,5.4799999999999995,0,0
aten::cat,,,50.6,105.31,0,21.682000000000002,0,0
empty_tensor,,,4.19,4.19,0,0,0,0
aclnnCat,,,50.52,50.52,21.682000000000002,21.682000000000002,0,0
aten::unsqueeze,,,4.84,6.94,0,0,0,0
aten::as_strided,,,2.1,2.1,0,0,0,0
aten::conv1d,,,2.89,159.42,0,103.612,0,9.042
aten::unsqueeze,,,0.9,1.95,0,0,0,0
aten::as_strided,,,1.05,1.05,0,0,0,0
aten::convolution,,,3.23,153.03,0,103.612,0,9.042
aten::_convolution,,,47.23,149.8,0,103.612,0,9.042
aten::unsqueeze,,,1.04,2.15,0,0,0,0
aten::as_strided,,,1.11,1.11,0,0,0,0
aten::unsqueeze,,,1.22,2.18,0,0,0,0
aten::as_strided,,,0.96,0.96,0,0,0,0
empty_tensor,,,3.91,3.91,0,0,0,0
format_contiguousV2,,,1.02,1.02,0,0,0,0
Conv2D,,,88.9,88.9,103.612,103.612,9.042,9.042
aten::squeeze,,,2.03,4.41,0,0,0,0
aten::as_strided,,,2.38,2.38,0,0,0,0
aten::squeeze,,,0.77,1.55,0,0,0,0
aten::as_strided,,,0.78,0.78,0,0,0,0
aten::alias,,,2.0,2.0,0,0,0,0
aten::pad,,,2.07,73.78,0,9.542,0,0
aten::constant_pad_nd,,,43.28,71.71,0,9.542,0,0
empty_tensor,,,5.52,5.52,0,0,0,0
aclnnConstantPadNd,,,22.91,22.91,9.542,9.542,0,0
aten::to,,,2.06,30.43,0,1.32,0,0
npu::_npu_dtype_cast,,,5.61,28.37,0,1.32,0,0
empty_tensor,,,4.07,4.07,0,0,0,0
aclnnCast,,,18.69,18.69,1.32,1.32,0,0
aten::copy_,,,61.56,138.69,0,16.082,0,0
aclnnInplaceCopy,,,77.13,77.13,16.082,16.082,0,0
aten::silu,,,6.86,25.83,0,1.3,0,0
empty_tensor,,,4.88,4.88,0,0,0,0
aclnnSilu,,,14.09,14.09,1.3,1.3,0,0
aten::to,,,1.65,18.61,0,1.22,0,0
npu::_npu_dtype_cast,,,4.35,16.96,0,1.22,0,0
empty_tensor,,,3.29,3.29,0,0,0,0
aclnnCast,,,9.32,9.32,1.22,1.22,0,0
aten::select,,,6.21,8.31,0,0,0,0
aten::as_strided,,,2.1,2.1,0,0,0,0
aten::eq,,,6.17,23.23,0,1.72,0,0
empty_tensor,,,2.81,2.81,0,0,0,0
aclnnEqScalar,,,14.25,14.25,1.72,1.72,0,0
aten::is_nonzero,,,1.46,59.52,0,0,0,0
aten::item,,,1.73,58.06,0,0,0,0
aten::_local_scalar_dense,,,56.33,56.33,0,0,0,0
aten::select,,,4.65,6.67,0,0,0,0
aten::as_strided,,,2.02,2.02,0,0,0,0
aten::item,,,1.22,25.79,0,0,0,0
aten::_local_scalar_dense,,,24.57,24.57,0,0,0,0
aten::select,,,2.71,4.15,0,0,0,0
aten::as_strided,,,1.44,1.44,0,0,0,0
aten::alias,,,2.75,2.75,0,0,0,0
aten::unsqueeze,,,2.19,3.33,0,0,0,0
aten::as_strided,,,1.14,1.14,0,0,0,0
aten::select,,,1.35,2.19,0,0,0,0
aten::as_strided,,,0.84,0.84,0,0,0,0
aten::item,,,0.84,24.02,0,0,0,0
aten::_local_scalar_dense,,,23.18,23.18,0,0,0,0
aten::select,,,2.26,3.41,0,0,0,0
aten::as_strided,,,1.15,1.15,0,0,0,0
aten::alias,,,1.46,1.46,0,0,0,0
aten::to,,,2.19,136.4,0,5.92,0,0
npu::_npu_dtype_cast,,,56.91,134.21,0,5.92,0,0
empty_tensor,,,6.38,6.38,0,0,0,0
aclnnCast,,,70.92,70.92,5.92,5.92,0,0
aten::cat,,,49.33,103.22,0,15.782,0,0
empty_tensor,,,4.19,4.19,0,0,0,0
aclnnCat,,,49.7,49.7,15.782,15.782,0,0
aten::unsqueeze,,,5.31,7.61,0,0,0,0
aten::as_strided,,,2.3,2.3,0,0,0,0
aten::conv1d,,,2.71,219.14,0,102.112,0,6.58
aten::unsqueeze,,,1.06,2.02,0,0,0,0
aten::as_strided,,,0.96,0.96,0,0,0,0
aten::convolution,,,3.43,212.84,0,102.112,0,6.58
aten::_convolution,,,108.53,209.41,0,102.112,0,6.58
aten::unsqueeze,,,0.92,1.95,0,0,0,0
aten::as_strided,,,1.03,1.03,0,0,0,0
aten::unsqueeze,,,1.49,2.28,0,0,0,0
aten::as_strided,,,0.79,0.79,0,0,0,0
empty_tensor,,,3.95,3.95,0,0,0,0
format_contiguousV2,,,1.01,1.01,0,0,0,0
Conv2D,,,86.79,86.79,102.112,102.112,6.58,6.58
aten::squeeze,,,2.34,4.9,0,0,0,0
aten::as_strided,,,2.56,2.56,0,0,0,0
aten::squeeze,,,0.74,1.57,0,0,0,0
aten::as_strided,,,0.83,0.83,0,0,0,0
aten::alias,,,2.12,2.12,0,0,0,0
aten::pad,,,2.17,43.11,0,9.602,0,0
aten::constant_pad_nd,,,11.93,40.94,0,9.602,0,0
empty_tensor,,,6.21,6.21,0,0,0,0
aclnnConstantPadNd,,,22.8,22.8,9.602,9.602,0,0
aten::to,,,2.04,23.41,0,1.5,0,0
npu::_npu_dtype_cast,,,5.53,21.37,0,1.5,0,0
empty_tensor,,,4.11,4.11,0,0,0,0
aclnnCast,,,11.73,11.73,1.5,1.5,0,0
aten::copy_,,,111.3,217.64,0,14.3,0,0
aclnnInplaceCopy,,,106.34,106.34,14.3,14.3,0,0
aten::silu,,,7.63,27.69,0,1.3,0,0
empty_tensor,,,5.3,5.3,0,0,0,0
aclnnSilu,,,14.76,14.76,1.3,1.3,0,0
aten::to,,,1.59,19.18,0,1.16,0,0
npu::_npu_dtype_cast,,,4.86,17.59,0,1.16,0,0
empty_tensor,,,2.86,2.86,0,0,0,0
aclnnCast,,,9.87,9.87,1.16,1.16,0,0
aten::select,,,6.04,8.09,0,0,0,0
aten::as_strided,,,2.05,2.05,0,0,0,0
aten::eq,,,6.24,22.02,0,2.08,0,0
empty_tensor,,,2.79,2.79,0,0,0,0
aclnnEqScalar,,,12.99,12.99,2.08,2.08,0,0
aten::is_nonzero,,,1.52,52.42,0,0,0,0
aten::item,,,1.69,50.9,0,0,0,0
aten::_local_scalar_dense,,,49.21,49.21,0,0,0,0
aten::select,,,4.44,6.87,0,0,0,0
aten::as_strided,,,2.43,2.43,0,0,0,0
aten::item,,,1.04,25.7,0,0,0,0
aten::_local_scalar_dense,,,24.66,24.66,0,0,0,0
aten::select,,,2.52,4.08,0,0,0,0
aten::as_strided,,,1.56,1.56,0,0,0,0
aten::alias,,,2.5,2.5,0,0,0,0
aten::unsqueeze,,,2.59,3.5,0,0,0,0
aten::as_strided,,,0.91,0.91,0,0,0,0
aten::select,,,1.32,2.48,0,0,0,0
aten::as_strided,,,1.16,1.16,0,0,0,0
aten::item,,,0.9,42.15,0,0,0,0
aten::_local_scalar_dense,,,41.25,41.25,0,0,0,0
aten::select,,,11.78,12.88,0,0,0,0
aten::as_strided,,,1.1,1.1,0,0,0,0
aten::alias,,,2.39,2.39,0,0,0,0
aten::to,,,2.07,142.86,0,5.542,0,0
npu::_npu_dtype_cast,,,57.76,140.79,0,5.542,0,0
empty_tensor,,,6.32,6.32,0,0,0,0
aclnnCast,,,76.71,76.71,5.542,5.542,0,0
aten::cat,,,48.22,103.48,0,15.74,0,0
empty_tensor,,,4.78,4.78,0,0,0,0
aclnnCat,,,50.48,50.48,15.74,15.74,0,0
aten::unsqueeze,,,5.85,8.1,0,0,0,0
aten::as_strided,,,2.25,2.25,0,0,0,0
aten::conv1d,,,2.96,153.07,0,101.13,0,5.96
aten::unsqueeze,,,0.84,1.85,0,0,0,0
aten::as_strided,,,1.01,1.01,0,0,0,0
aten::convolution,,,3.29,146.19,0,101.13,0,5.96
aten::_convolution,,,44.06,142.9,0,101.13,0,5.96
aten::unsqueeze,,,0.97,2.61,0,0,0,0
aten::as_strided,,,1.64,1.64,0,0,0,0
aten::unsqueeze,,,1.3,1.94,0,0,0,0
aten::as_strided,,,0.64,0.64,0,0,0,0
empty_tensor,,,4.14,4.14,0,0,0,0
format_contiguousV2,,,0.97,0.97,0,0,0,0
Conv2D,,,85.3,85.3,101.13,101.13,5.96,5.96
aten::squeeze,,,2.11,3.88,0,0,0,0
aten::as_strided,,,1.77,1.77,0,0,0,0
aten::squeeze,,,1.53,2.07,0,0,0,0
aten::as_strided,,,0.54,0.54,0,0,0,0
aten::alias,,,1.97,1.97,0,0,0,0
aten::pad,,,1.91,40.51,0,9.602,0,0
aten::constant_pad_nd,,,11.16,38.6,0,9.602,0,0
empty_tensor,,,5.98,5.98,0,0,0,0
aclnnConstantPadNd,,,21.46,21.46,9.602,9.602,0,0
aten::to,,,1.95,23.56,0,1.42,0,0
npu::_npu_dtype_cast,,,6.15,21.61,0,1.42,0,0
empty_tensor,,,3.82,3.82,0,0,0,0
aclnnCast,,,11.64,11.64,1.42,1.42,0,0
aten::copy_,,,57.73,136.31,0,15.664000000000001,0,0
aclnnInplaceCopy,,,78.58,78.58,15.664000000000001,15.664000000000001,0,0
aten::silu,,,7.07,24.86,0,1.36,0,0
empty_tensor,,,3.98,3.98,0,0,0,0
aclnnSilu,,,13.81,13.81,1.36,1.36,0,0
aten::to,,,2.06,20.51,0,1.28,0,0
npu::_npu_dtype_cast,,,4.36,18.45,0,1.28,0,0
empty_tensor,,,3.12,3.12,0,0,0,0
aclnnCast,,,10.97,10.97,1.28,1.28,0,0
aten::select,,,5.72,7.66,0,0,0,0
aten::as_strided,,,1.94,1.94,0,0,0,0
aten::eq,,,5.51,21.24,0,2.04,0,0
empty_tensor,,,2.55,2.55,0,0,0,0
aclnnEqScalar,,,13.18,13.18,2.04,2.04,0,0
aten::is_nonzero,,,1.32,51.56,0,0,0,0
aten::item,,,1.45,50.24,0,0,0,0
aten::_local_scalar_dense,,,48.79,48.79,0,0,0,0
aten::select,,,4.26,6.16,0,0,0,0
aten::as_strided,,,1.9,1.9,0,0,0,0
aten::item,,,1.04,23.5,0,0,0,0
aten::_local_scalar_dense,,,22.46,22.46,0,0,0,0
aten::select,,,3.39,4.84,0,0,0,0
aten::as_strided,,,1.45,1.45,0,0,0,0
aten::alias,,,2.42,2.42,0,0,0,0
aten::unsqueeze,,,2.39,3.28,0,0,0,0
aten::as_strided,,,0.89,0.89,0,0,0,0
aten::select,,,1.3,2.01,0,0,0,0
aten::as_strided,,,0.71,0.71,0,0,0,0
aten::item,,,0.86,21.56,0,0,0,0
aten::_local_scalar_dense,,,20.7,20.7,0,0,0,0
aten::select,,,2.21,3.33,0,0,0,0
aten::as_strided,,,1.12,1.12,0,0,0,0
aten::alias,,,1.5,1.5,0,0,0,0
aten::to,,,2.07,138.16,0,25.602,0,0
npu::_npu_dtype_cast,,,58.83,136.09,0,25.602,0,0
empty_tensor,,,7.44,7.44,0,0,0,0
aclnnCast,,,69.82,69.82,25.602,25.602,0,0
aten::cat,,,52.39,114.44,0,38.882,0,0
empty_tensor,,,5.38,5.38,0,0,0,0
aclnnCat,,,56.67,56.67,38.882,38.882,0,0
aten::unsqueeze,,,5.14,7.2,0,0,0,0
aten::as_strided,,,2.06,2.06,0,0,0,0
aten::conv1d,,,2.64,152.18,0,148.71400000000003,0,31.264
aten::unsqueeze,,,1.07,2.07,0,0,0,0
aten::as_strided,,,1.0,1.0,0,0,0,0
aten::convolution,,,3.4,145.89,0,148.71400000000003,0,31.264
aten::_convolution,,,42.75,142.49,0,148.71400000000003,0,31.264
aten::unsqueeze,,,1.15,2.28,0,0,0,0
aten::as_strided,,,1.13,1.13,0,0,0,0
aten::unsqueeze,,,1.45,2.37,0,0,0,0
aten::as_strided,,,0.92,0.92,0,0,0,0
empty_tensor,,,5.19,5.19,0,0,0,0
format_contiguousV2,,,1.08,1.08,0,0,0,0
Conv2D,,,85.09,85.09,148.71400000000003,148.71400000000003,31.264,31.264
aten::squeeze,,,1.94,3.73,0,0,0,0
aten::as_strided,,,1.79,1.79,0,0,0,0
aten::squeeze,,,0.85,1.58,0,0,0,0
aten::as_strided,,,0.73,0.73,0,0,0,0
aten::alias,,,2.1,2.1,0,0,0,0
aten::pad,,,2.02,41.6,0,13.942,0,0
aten::constant_pad_nd,,,11.38,39.58,0,13.942,0,0
empty_tensor,,,5.8,5.8,0,0,0,0
aclnnConstantPadNd,,,22.4,22.4,13.942,13.942,0,0
aten::to,,,2.0,23.53,0,1.4,0,0
npu::_npu_dtype_cast,,,5.29,21.53,0,1.4,0,0
empty_tensor,,,3.76,3.76,0,0,0,0
aclnnCast,,,12.48,12.48,1.4,1.4,0,0
aten::copy_,,,55.18,133.17,0,14.36,0,0
